symbol,iso_num,fraction
Er,169,
Er,170,14.93
Tm,168,
Tm,169,100
Tm,170,
Tm,171,
Yb,168,0.13
Yb,169,
Yb,170,3.04
Yb,171,14.28
Yb,172,21.83
Yb,173,16.13
Yb,174,31.83
Yb,175,
Yb,176,12.76
Lu,175,97.41
Lu,176,2.59
Hf,174,0.16
Hf,175,
Hf,176,5.26
Hf,177,18.6
Hf,178,27.28
Hf,179,13.62
Hf,180,35.08
Hf,181,
Hf,182,
Ta,180,0.012
Ta,181,99.988
Ta,182,
W,180,0.12
W,181,
W,182,26.5
W,183,14.31
W,184,30.64
W,185,
W,186,28.43
Re,185,37.4
Re,186,
Re,187,62.6
Os,184,0.02
Os,185,
Os,186,1.59
Os,187,1.96
Os,188,13.24
Os,189,16.15
Os,190,26.26
Os,191,
Os,192,40.78
Ir,191,37.3
Ir,192,
Ir,193,62.7
Ir,194,
Pt,190,0.014
Pt,191,
Pt,192,0.782
Pt,193,
Pt,194,32.967
Pt,195,33.832
Pt,196,25.242
Pt,197,
Pt,198,7.163
Au,197,100
Hg,196,0.15
Hg,197,
Hg,197,
Hg,198,9.97
Hg,199,16.87
Hg,200,23.1
Hg,201,13.18
Hg,202,29.86
Hg,203,
Hg,204,6.87
Tl,203,29.524
Tl,204,
Tl,205,70.476
Pb,204,1.4
Pb,205,
Pb,206,24.1
Pb,207,22.1
Pb,208,52.4
Bi,209,100
Bi,210,
Po,208,
Po,209,
Po,210,99.998
Ra,223,
Ra,224,
Ra,225,
Ra,226,100
Ac,225,
Ac,226,
Ac,227,100
Th,227,
Th,228,
Th,229,
Th,230,
Th,231,
Th,232,100
Th,233,
Th,234,
Pa,229,
Pa,230,
Pa,231,100
Pa,232,
Pa,233,
U,230,
U,231,
U,232,
U,233,
U,234,0.0055
U,235,0.72
U,236,
U,237,
U,238,99.2745
U,239,
U,240,
U,241,
Np,234,
Np,235,
Np,236,
Np,236,
Np,237,
Np,238,
Np,239,
Pu,236,
Pu,237,
Pu,238,
Pu,239,
Pu,240,
Pu,241,
Pu,242,
Pu,243,
Pu,244,100
